Team					Rating				Wins	Losses			Stat			Season					SOS
Gonzaga			6.705657619911303		18		0		2.355583896044163		2.1201603985066195		0.4212841136961059
Baylor			6.2454907950008955		17		0		1.8505785228900629		2.205616169399422		0.5250173140428264
Michigan			6.138374207260332		13		1		2.105335425927799		1.253388128183792		1.642274898105045
Ohio State			5.984723273620533		15		4		1.0284799939462164		1.8898717234667886		1.9296668793935
Houston			5.7279182235669		15		2		1.6981189152977125		1.7519397740291824		0.6916706523047708
Loyola (IL)			5.649189616531822		15		3		2.1001448116402637		2.797275241844944		0.014854033649119363
Illinois			5.638972976611014		12		5		1.5278480298357051		1.1786348585071278		2.011293004256493
Florida State			5.595848981247565		10		3		1.0805672349688757		1.7011358298455626		1.5283384321504505
Virginia			5.583714308467851		12		3		1.1064521020124145		1.983107150544785		1.3378774741367996
USC			5.440931021208153		14		3		1.6315756510351807		1.7878347701218513		0.9501533810375822
Tennessee			5.400545444685366		12		4		1.7395095773009244		1.4627937930571886		1.225641552450184
Alabama			5.094354602503235		15		4		0.7270767460426355		2.106613731359214		1.7868211608832618
Iowa			5.052726014257518		13		5		1.2755319863973682		1.2657025598936358		1.5572476847060939
Wisconsin			4.995847042930371		14		5		0.9762607326859039		1.4078978600608771		1.7051950360202688
Memphis			4.974094370420724		11		6		1.42178055324191		1.6970927373197562		0.3872732283365255
Kansas			4.885012293330617		12		6		0.8701154835077449		0.908727948005872		1.9007576268378565
Florida			4.870975493348455		10		5		0.49637782469703423		1.7292338722230851		1.6660825178567513
Arizona			4.8591537522299735		13		5		1.6625173727656983		0.9930602746406039		0.644055412801358
Rutgers			4.822582252124981		11		6		0.3314717070012494		1.6465872295594637		2.169443621178542
Oklahoma			4.792744359431403		11		5		0.8579875988007805		1.5326497836670343		1.4892259139869328
Colorado			4.761942213000493		13		5		1.2547756294901158		1.18380688229352		0.9008375972661905
Texas Tech			4.751807765519282		13		5		1.4069128187732682		1.158063164892285		0.8447196364228827
Villanova			4.729050057626045		11		2		0.8819426857989677		1.2580573760244351		1.4007976120520236
Duke			4.703504877494727		7		6		0.2727572881679482		1.5849669797704795		1.4858248254509747
Auburn			4.7021454168777215		10		9		0.7437916873807237		1.2778751622657833		1.4007976120520236
Maryland			4.701051614199802		10		8		0.6542111974053793		0.7951793850434049		2.2765779100612207
Kentucky			4.6740076006594355		5		11		0.2561778229916167		1.24105797363534		2.094619673387465
Utah State			4.649299142495677		14		5		1.6666297235345673		1.3645603505082653		-0.2555325049595454
UConn			4.572273883057791		8		3		1.0695228202959355		1.3812430294923304		1.2120371983063518
Creighton			4.540359739889578		13		5		0.7933488907768559		1.3355068143646132		1.295363867437324
Seton Hall			4.514336748313138		10		8		0.599922316745895		1.017221244668039		1.8191315019748633
Louisville			4.432737833349177		11		4		0.4001988950849615		1.2604359598220438		1.572552583117905
Penn State			4.398077140491379		6		8		-0.555884306903786		1.5623289765114088		2.871768403853878
San Diego State			4.360210995322062		13		4		1.1167369561217746		0.9913276482398761		0.6678630325530643
UCLA			4.296607770509028		13		3		1.1557593295698898		1.1848428595158462		1.0504854928483445
Arkansas			4.276989560060847		14		5		1.1249442588917409		1.4874477273499558		0.6219483373176308
BYU			4.236909472214799		15		4		1.2141418245599453		1.1412367656915177		0.7358848032722253
Dayton			4.188151903806698		10		5		0.5197721382371502		1.3360283953492282		0.6491570456052951
Notre Dame			4.182269186307563		7		9		0.09496209992248651		1.6029727559950508		1.8548429316024229
LSU			4.1627070432394895		11		6		0.6093870486276655		1.1256865746735027		1.150817604659107
Minnesota			4.149435667310861		11		7		0.5598425228728634		0.8013927689769468		2.094619673387465
Missouri			4.145944917827745		12		3		0.4560976599245903		1.767958969415763		1.7936233379551783
Stanford			4.145671335811206		11		7		0.42872071220301683		1.6348345071670767		1.298764955973282
West Virginia			4.064256214938679		12		5		0.5458105789760298		0.7506335127622986		1.6796868720005835
Xavier			4.063826972751082		11		2		1.3327327060396041		0.7224370929082978		1.081095289671967
Indiana			3.9892407343505942		9		8		0.4484197420776868		0.7120125336402703		2.1813474310543954
Purdue			3.967818537567897		12		7		0.031737816478551874		1.32625079346123		2.159240355570668
UNC			3.86348096456419		11		6		0.6420590639904943		1.1138113293291843		1.6269699996932339
Virginia Tech			3.8079306707606495		13		4		0.7838721459540718		1.4535771014886367		1.3412785626727577
Wichita State			3.71738162453044		10		4		0.5802436888136557		0.7923742254172005		1.4127014219278768
Michigan State			3.689615496929037		8		7		0.18646666871392065		0.6343106662805265		1.5623493175100307
Mississippi State			3.682968455657176		10		9		0.6535246225973417		0.8685256040068476		0.7443875246121204
SMU			3.6498213032947024		10		4		0.2722121126406714		1.7211833687987046		0.7988049411874492
Georgia Tech			3.643651727738116		8		6		0.33693576616951876		1.33806564237356		1.223941008182205
Akron			3.6398931419112213		9		4		1.1653639000043114		1.1454004181106234		-0.24192815081571317
Boise State			3.5655251693522794		14		2		1.958054969168505		0.8709781171163996		-0.582037004411518
Syracuse			3.4855389983525433		10		5		0.6060269600139175		1.0775940465492804		1.1746252244108133
Oklahoma State			3.365922668480808		11		5		0.5497651692633726		0.9793434251014083		1.2137377425743308
Colorado State			3.3195174004732007		12		4		0.686239272016955		1.5547808077427006		0.15940029642733636
Marquette			3.2325208882833594		9		9		0.21013775322393158		0.6031264463448398		1.3463801954766947
St. Bonaventure			3.228645397558065		9		1		0.6776144573430251		1.966431081526509		0.574333097814218
Toledo			3.203849946048869		16		4		0.7732324778336004		1.2972137832628272		-0.01575576317450306
