0.383	0.373	0.549	50.1	56.6	13.1	7.9	0.507	16.9	30.6	0.284
0.357	0.417	0.568	50	58.2	7.3	4.6	0.534	16.1	22.7	0.261
0.352	0.444	0.562	50.7	51.4	7.2	7.3	0.521	16	27.9	0.271
0.326	0.32	0.462	47.2	48.7	8.4	5.9	0.425	15.9	25	0.218
0.351	0.301	0.535	54.8	43.1	8.9	8.6	0.501	19	31.9	0.247
0.361	0.392	0.477	47.2	48.2	8.9	6.1	0.446	19.8	25.9	0.226
0.369	0.489	0.553	49.7	51.6	8.2	10.4	0.522	16.7	29.8	0.256
0.339	0.438	0.518	49.8	56.4	8	7.9	0.482	17.5	24.1	0.239
0.302	0.404	0.539	51.5	52.3	11	8.6	0.504	16.9	30.6	0.224
0.286	0.347	0.543	48.6	48.1	11.5	9.3	0.516	15.7	26.6	0.201
0.393	0.39	0.525	49.8	49.1	10.8	6.7	0.491	16.9	27.7	0.263
0.324	0.369	0.521	48.5	42.3	10.9	9.4	0.488	15.7	26.5	0.225
0.363	0.345	0.547	52.8	57.3	9.5	10.6	0.508	14.4	30.9	0.265
0.45	0.328	0.566	52.2	59.5	9.8	10.4	0.527	19.3	30.7	0.319
0.374	0.289	0.462	48.9	49.1	10.7	9.8	0.435	23.3	27.9	0.22
0.474	0.317	0.537	49.3	58.9	10	7.6	0.49	16.5	28.8	0.336
0.42	0.395	0.55	45	46.5	11	9.9	0.506	14.3	21.3	0.306
0.253	0.37	0.545	48.6	59.3	7.9	4.6	0.533	15.4	20	0.156
0.438	0.441	0.536	53.7	49.1	8.9	12.9	0.5	15	35.3	0.295
0.368	0.331	0.552	52.1	48.7	9.4	8.2	0.516	15.6	33.1	0.264
0.308	0.48	0.537	51	55.7	9.5	9	0.509	17	25.4	0.214
0.308	0.369	0.523	52.5	54.1	12.2	12.5	0.494	14.9	35.7	0.213
0.3	0.372	0.511	52.6	47.5	8.2	6.5	0.481	14.5	35.7	0.207
0.227	0.438	0.572	50.5	61.3	10.4	8	0.553	14.6	24.9	0.162
0.238	0.479	0.517	47.1	47.3	7.5	7.9	0.489	15.5	25.6	0.173
0.362	0.421	0.56	51.5	50.2	8	4.1	0.52	15.5	25.9	0.271
0.292	0.407	0.494	46.5	54.8	11.1	7.1	0.467	17.3	25.7	0.191
0.271	0.344	0.535	52.1	46.4	8.4	6.2	0.515	14.6	29	0.177
0.287	0.364	0.517	51.1	46.2	7.6	6.1	0.479	13.3	28.7	0.215
0.319	0.313	0.536	53.5	52.4	7.1	12.5	0.499	14.9	31.5	0.235
0.237	0.415	0.607	49.6	58.7	8.3	5.5	0.592	14.1	20.6	0.167
0.325	0.381	0.497	52.1	48.6	9.4	11.9	0.455	18.2	32.3	0.237
0.304	0.433	0.513	52	55	9.1	11.3	0.485	17.2	31.6	0.206
0.284	0.418	0.521	47.8	50	10.2	9.4	0.493	17	24.1	0.195
0.276	0.377	0.518	52.5	50.8	10.5	11	0.494	15.4	35.2	0.184
0.294	0.368	0.553	53.3	50.9	8.2	7.8	0.523	15.4	29.4	0.214
0.348	0.34	0.516	46.9	43.9	9	6.9	0.481	17.2	23	0.242
0.312	0.272	0.509	54.7	46.2	9.3	10.2	0.478	16.9	36.1	0.214
0.371	0.338	0.521	48	47.7	7.2	7.7	0.488	16.6	22.8	0.25
0.313	0.339	0.551	47.3	51.2	7.9	8.7	0.519	14.1	25.7	0.228
0.345	0.431	0.567	54.8	53.9	5.8	8.5	0.524	15.4	32.4	0.271
0.315	0.369	0.573	48.3	50.1	8.4	5.3	0.534	16.7	23.4	0.248
0.283	0.298	0.555	56.7	53.5	9.3	9.9	0.526	17.2	35.3	0.209
0.269	0.423	0.535	54.2	53	7.7	7.5	0.51	17.9	27.6	0.186
0.3	0.372	0.511	52.6	47.5	8.2	6.5	0.481	14.5	35.7	0.207
0.368	0.35	0.559	53.6	56.2	7.2	7.2	0.517	15.7	32.2	0.278
0.358	0.284	0.512	49.4	41.8	6.1	7.5	0.468	17.1	25.2	0.264
0.258	0.415	0.558	47.6	59.2	10.7	8.3	0.532	17.3	22.2	0.189
0.3	0.345	0.52	48.9	55.9	10.1	7.1	0.488	17.9	28.7	0.211
0.402	0.404	0.528	50.3	58	6.8	12.7	0.485	20	28.4	0.288
0.291	0.316	0.486	44.8	44.4	9.1	9.4	0.454	17.9	23.3	0.197
0.309	0.385	0.526	49.3	54.7	9.4	8	0.494	17.4	28.8	0.219
0.333	0.374	0.535	49.1	42.3	12.1	7	0.496	14.9	28.1	0.247
0.262	0.428	0.528	46.3	53.5	8.6	7	0.496	16.2	22.8	0.195
0.38	0.368	0.55	49.9	52.3	11.3	10.5	0.516	18.7	21.4	0.267
0.289	0.413	0.556	51.7	52.5	7	4.1	0.529	15.4	26.8	0.206
